*** Course Durations ***
Module / Lecture / Video                                                                                                                | Type     | Duration  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 1: Introduction to Cryptography                                                                                                  | Module   | 03:09:34  
  Lecture 1: Basic Concepts                                                                                                             | Lecture  | 02:00:25  
    Video 1: Basic Concepts - Background                                                                                                | Video    | 00:12:59  
    Video 2: Basic Concepts - Introduction to Cryptography                                                                              | Video    | 00:12:52  
    Video 3: Basic Concepts - Good Crypto Bad Crypto                                                                                    | Video    | 00:15:23  
    Video 4: Basic Concepts - Number Theory                                                                                             | Video    | 00:24:08  
    Video 5: Basic Concepts - Large Numbers are Really Large                                                                            | Video    | 00:12:36  
    Video 6: Basic Concepts - Random Numbers, Hash Functions, and Encryption                                                            | Video    | 00:30:42  
    Video 7: Basic Concepts - Kerckhoffs’s Principle                                                                                    | Video    | 00:11:42  
  Lecture 2: Encryption Basics                                                                                                          | Lecture  | 01:09:09  
    Video 1: Encryption Basics - Encryption History                                                                                     | Video    | 00:15:32  
    Video 2: Encryption Basics - Building Blocks for Encryption Algorithms                                                              | Video    | 00:18:13  
    Video 3: Encryption Basics - Encryption Properties, Cryptanalysis, Steganography                                                    | Video    | 00:17:13  
    Video 4: Encryption Basics - Modes of Encryption                                                                                    | Video    | 00:18:10  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 2: Building Blocks: Random Numbers, Hash Functions, Encryption                                                                   | Module   | 02:17:29  
  Lecture 1: Random Numbers                                                                                                             | Lecture  | 00:55:22  
    Video 1: Random Numbers - Introduction to Random Numbers                                                                            | Video    | 00:15:27  
    Video 2: Random Numbers - Pseudo Random Numbers                                                                                     | Video    | 00:11:00  
    Video 3: Random Numbers - Cryptographically Secure Random Numbers (CSPRN) and CSPRN Generators (CSPRNG) PH                          | Video    | 00:28:54  
  Lecture 2: Hash Functions                                                                                                             | Lecture  | 00:54:00  
    Video 1: Hash Functions - Cryptographic Hashes                                                                                      | Video    | 00:07:52  
    Video 2: Hash Functions - Hash Functions and Properties                                                                             | Video    | 00:23:00  
    Video 3: Hash Functions - Standard Hash Functions (MD-5 and SHA)                                                                    | Video    | 00:23:07  
  Lecture 3: Birthday Attacks on Hash Functions                                                                                         | Lecture  | 00:28:06  
    Video 1: Birthday Attacks on Hash Functions - Constructing and Preventing Birthday Attacks                                          | Video    | 00:13:47  
    Video 2: Birthday Attacks on Hash Functions - Birthday Paradox                                                                      | Video    | 00:14:19  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 3: Passwords: Storage and Security                                                                                               | Module   | 01:31:05  
  Lecture 1: Password Insecurity                                                                                                        | Lecture  | 00:26:27  
    Video 1: Password Insecurity - Password Vulnerabilities                                                                             | Video    | 00:14:17  
    Video 2: Password Insecurity - Attacks on Passwords                                                                                 | Video    | 00:12:09  
  Lecture 2: Password Storage                                                                                                           | Lecture  | 00:35:41  
    Video 1: Password Storage - Password Storage                                                                                        | Video    | 00:17:50  
    Video 2: Password Storage - Unix Password Storage                                                                                   | Video    | 00:17:50  
  Lecture 3: Rainbow Tables                                                                                                             | Lecture  | 00:28:56  
    Video 1: Rainbow Tables - Attacks Using Rainbow Tables                                                                              | Video    | 00:14:31  
    Video 2: Rainbow Tables - Constructing Rainbow Tables                                                                               | Video    | 00:14:25  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 4: Authentication, Key Exchange, Public Keys and Man-in-the-Middle (MITM)                                                        | Module   | 02:57:01  
  Lecture 1: Authentication                                                                                                             | Lecture  | 00:43:09  
    Video 1: Authentication - Authentication - continued                                                                                | Video    | 00:22:05  
    Video 2: Authentication - Authentication and Challenge Response                                                                     | Video    | 00:21:04  
  Lecture 2: Key Exchange                                                                                                               | Lecture  | 00:16:47  
