Module / Lecture / Video                                                                                                                | Type     | Duration
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 1: Introduction to Software Security                                                                                             | Module   | 01:35:43
  Lecture 1: Introduction to Software Security                                                                                          | Lecture  | 00:34:11
    Video 1: Software Security                                                                                                          | Video    | 00:19:20
    Video 2: DEF CON Interview: What is a hacker?                                                                                       | Video    | 00:03:32
    Video 3: DEF CON Interview: How did you get started in security and hacking?                                                        | Video    | 00:09:17
    Video 4: DEF CON Interview: What are the skills you are using or developing in a CTF?                                               | Video    | 00:02:01
  Lecture 2: History of Software Security                                                                                               | Lecture  | 00:34:50
    Video 1: History of the Internet                                                                                                    | Video    | 00:11:38
    Video 2: Notable Hacking Incidents: Phone Phreaking                                                                                 | Video    | 00:04:32
    Video 3: Notable Hacking Incidents: The German Hacker Incident                                                                      | Video    | 00:05:14
    Video 4: Notable Hacking Incidents: Internet Worm                                                                                   | Video    | 00:05:53
    Video 5: Notable Hacking Incidents: Vitek Boden                                                                                     | Video    | 00:02:33
    Video 6: DEF CON Interview: Have you ever stumbled on a security incident accidentally? What happened?                              | Video    | 00:02:00
    Video 7: DEF CON Interview: Can you describe a security incident that you've seen first-hand, and what was your role in the response? | Video    | 00:02:59
  Lecture 3: Ethics of Software Security                                                                                                | Lecture  | 00:26:42
    Video 1: Ethics - Part 1                                                                                                            | Video    | 00:07:30
    Video 2: Ethics - Part 2                                                                                                            | Video    | 00:15:56
    Video 3: DEF CON Interview: What's your view on vulnerability disclosure?                                                           | Video    | 00:03:15
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 2: Network Security Part 1                                                                                                       | Module   | 00:48:47
  Lecture 1: Local Area Network Attacks                                                                                                 | Lecture  | 00:48:47
    Video 1: Sniffing                                                                                                                   | Video    | 00:18:46
    Video 2: DEF CON Interview: What is the best or most interesting CTF challenge you've solved or not solved?                         | Video    | 00:07:22
    Video 3: ARP Spoofing                                                                                                               | Video    | 00:14:23
    Video 4: Detecting Sniffers and Controlling Network Access                                                                          | Video    | 00:08:15
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 3: Network Security Part 2                                                                                                       | Module   | 01:49:24
  Lecture 1: Wide Area Network Attacks                                                                                                  | Lecture  | 01:49:24
    Video 1: IP Fragmentation                                                                                                           | Video    | 00:09:27
    Video 2: ICMP Echo Attacks                                                                                                          | Video    | 00:21:12
    Video 3: IP Attacks                                                                                                                 | Video    | 00:09:27
    Video 4: UDP Attacks                                                                                                                | Video    | 00:13:56
    Video 5: TCP Overview                                                                                                               | Video    | 00:13:23
    Video 6: TCP Attacks - Part 1                                                                                                       | Video    | 00:09:27
    Video 7: TCP Attacks - Part 2                                                                                                       | Video    | 00:12:50
    Video 8: OS Fingerprinting                                                                                                          | Video    | 00:05:03
    Video 9: DOS Attacks                                                                                                                | Video    | 00:13:19
    Video 10: DEF CON Interview: How do you approach security in Attack/Defense CTFs?                                                   | Video    | 00:01:16
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 4: Application Security Part 1                                                                                                   | Module   | 01:27:00
  Lecture 1: Overview of Application Security                                                                                           | Lecture  | 00:35:25
    Video 1: Overview of Application Security                                                                                           | Video    | 00:35:25
  Lecture 2: UNIX Security                                                                                                              | Lecture  | 00:32:42
    Video 1: DEF CON Interview: What is the smallest security flaw you've seen leading to the biggest compromise?                       | Video    | 00:07:05
    Video 2: UNIX Security                                                                                                              | Video    | 00:25:36
  Lecture 3: Reverse Engineering                                                                                                        | Lecture  | 00:18:52
    Video 1: Reverse Engineering                                                                                                        | Video    | 00:14:59
    Video 2: DEF CON Interview: How do you approach reverse engineering challenges in CTF?                                              | Video    | 00:03:52
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 5: Application Security Part 2                                                                                                   | Module   | 04:55:34
  Lecture 1: Application Vulnerabilities                                                                                                | Lecture  | 04:55:34
    Video 1: Application Vulnerability Analysis                                                                                         | Video    | 00:05:13
    Video 2: File Access and Command Injection Vulnerabilities                                                                          | Video    | 00:36:34
    Video 3: Buffer Overflow Vulnerabilities                                                                                            | Video    | 00:19:37
    Video 4: DEF CON Interview: Can you describe your first time exploiting or attempting to exploit a buffer overflow?                 | Video    | 00:02:20
    Video 5: System V Calling Convention                                                                                                | Video    | 00:15:41
    Video 6: Smashing the Stack                                                                                                         | Video    | 00:20:33
    Video 7: Memory Corruption Exploitation                                                                                             | Video    | 00:32:27
    Video 8: Generalized Memory Corruption                                                                                              | Video    | 00:20:33
    Video 9: Format String Vulnerabilities                                                                                              | Video    | 00:21:38
    Video 10: Defending Against Memory Corruption                                                                                       | Video    | 00:16:26
    Video 11: ASLR and ROP                                                                                                              | Video    | 00:24:18
    Video 12: Stack Canaries and Control-Flow Integrity                                                                                 | Video    | 00:16:00
