CSE 579 Knowledge Representation and Reasoning

Module / Lecture / Video                                                    | Type     | Duration  
-------------------------------------------------------------------------------------------------
Module 1: Introduction to KRR                                               | Module   | 02:13:57  
  Lecture 1: Different Kinds of Reasoning Problems                          | Lecture  | 00:22:49  
    Video 1: Different Kinds of Reasoning Problems The Role of Formal Logic | Video    | 00:07:39  
    Video 2: Different Kinds of Reasoning Problems Model Finding and Satisfiability | Video    | 00:05:33  
    Video 3: Different Kinds of Reasoning Problems Default Reasoning        | Video    | 00:09:36  
  Lecture 2: Introduction to Propositional Logic - Part II                  | Lecture  | 01:18:16  
    Video 1: Propositional Logic and Knowledge Representation-1             | Video    | 00:10:00  
    Video 2: Computing Propositional Logic DPLL Algorithm                   | Video    | 00:34:55  
    Video 3: Computing Propositional Logic Unit Propagation and Applying DPLL | Video    | 00:33:20  
  Lecture 3: Introduction to Leading Voices from the Field                  | Lecture  | 00:32:50  
    Video 1: KRR Overview with Vladimir Lifschitz                           | Video    | 00:11:46  
    Video 2: Interview with Torsten Schaub                                  | Video    | 00:09:27  
    Video 3: Interview with Ian Horrocks                                    | Video    | 00:11:36  
-------------------------------------------------------------------------------------------------
Module 2: First-Order Logic and Knowledge Representation                    | Module   | 02:18:08  
  Lecture 1: Introduction to First-Order Logic                              | Lecture  | 00:20:15  
    Video 1: Introduction to First-Order Logic - Part 1                     | Video    | 00:13:07  
    Video 2: Introduction to First-Order Logic - Part 2                     | Video    | 00:07:08  
  Lecture 2: Syntax of First-Order Logic                                    | Lecture  | 00:37:45  
    Video 1: Syntax of First-Order Logic Formula Components                 | Video    | 00:12:05  
    Video 2: Syntax of First-Order Logic Bound and Free Variables           | Video    | 00:07:30  
    Video 3: Syntax of First-Order Logic Exercises                          | Video    | 00:18:10  
  Lecture 3: Semantics of First-Order Logic                                 | Lecture  | 00:38:47  
    Video 1: Semantics of First-Order Logic                                 | Video    | 00:38:47  
  Lecture 4: Representing Knowledge in First-Order Logic                    | Lecture  | 00:20:15  
    Video 1: Introduction to First-Order Logic - Part 1-1                   | Video    | 00:13:07  
    Video 2: Introduction to First-Order Logic - Part 2-1                   | Video    | 00:07:08  
  Lecture 5: Herbrand Models                                                | Lecture  | 00:21:03  
    Video 1: Herbrand Models - Part 1                                       | Video    | 00:11:52  
    Video 2: Herbrand Models - Part 2                                       | Video    | 00:09:11  
-------------------------------------------------------------------------------------------------
Module 3: Theory of Answer Set Programming                                  | Module   | 03:29:35  
  Lecture 1: Introduction to Answer Set Programming                         | Lecture  | 00:14:20  
    Video 1: Introduction to Answer Set Programming                         | Video    | 00:14:20  
  Lecture 2: Stable Models of Definite/Positive Programs                    | Lecture  | 00:29:21  
    Video 1: General Introduction                                           | Video    | 00:07:41  
    Video 2: Minimal Models with Exercises                                  | Video    | 00:06:40  
    Video 3: Minimal Models with Exercises-1                                | Video    | 00:06:40  
    Video 4: Stable Models of Definite Programs                             | Video    | 00:04:52  
    Video 5: Stable Models of Positive Programs                             | Video    | 00:03:26  
  Lecture 3: Definite/Positive Programs in the Language of Clingo           | Lecture  | 00:27:54  
    Video 1: Definite Positive Programs in the Language of Clingo - Part 1  | Video    | 00:18:32  
    Video 2: Definite Positive Programs in the Language of Clingo - Part 2  | Video    | 00:09:21  
  Lecture 4: Definite/Positive Programs in the Language of Clingo Allowing Intervals | Lecture  | 00:19:46  
    Video 1: Definite Positive Programs in the Language of Clingo Allowing Intervals - Part 1 | Video    | 00:13:28  
    Video 2: Definite Positive Programs in the Language of Clingo Allowing Intervals - Part 2 | Video    | 00:06:18  
  Lecture 5: More About Clingo Programs                                     | Lecture  | 00:31:35  
    Video 1: More about clingo Programs clingo Directives                   | Video    | 00:05:59  
    Video 2: More about clingo Programs Arithmetic in clingo                | Video    | 00:06:07  
    Video 3: More about clingo Programs Exercises                           | Video    | 00:03:59  
    Video 4: More about clingo Programs Definitions Related to Arithmetic   | Video    | 00:15:28  
  Lecture 6: Negation as Failure                                            | Lecture  | 01:26:37  
    Video 1: Negation as Failure Informal Introduction                      | Video    | 00:18:53  
    Video 2: Negation as Failure Theory Core Concepts                       | Video    | 00:19:20  
    Video 3: Negation as Failure Theory Examples and Exercises              | Video    | 00:18:33  
    Video 4: Negation as Failure Theory Types of Models                     | Video    | 00:05:38  
    Video 5: Negation as Failure Theory Examples and Exercises-1            | Video    | 00:18:33  
    Video 6: Negation as Failure Theory Types of Models-1                   | Video    | 00:05:38  
-------------------------------------------------------------------------------------------------
Module 4: Practice of Answer Set Programming                                | Module   | 04:13:03  
  Lecture 1: Choice Rules and Constraints                                   | Lecture  | 00:37:41  
    Video 1: Choice Rules and Constraints Choice Rules with Exercises       | Video    | 00:13:53  
    Video 2: Choice Rules and Constraints Cardinality Bounds and Variables with Exercises | Video    | 00:14:40  
    Video 3: Choice Rules and Constraints Constraints with Exercises        | Video    | 00:09:07  
  Lecture 2: Methodology and Answer Set Programming                         | Lecture  | 00:42:34  
    Video 1: Methodology of Answer Set Programming Generate-(Define)-Test Method | Video    | 00:20:32  
    Video 2: Methodology of Answer Set Programming Schur Numbers            | Video    | 00:22:02  
  Lecture 3: Representing Functions in ASP                                  | Lecture  | 00:25:32  
