CSE 598 Advanced Software Analysis and Design

Module / Lecture / Video                                                    | Type     | Duration
-------------------------------------------------------------------------------------------------
Module 1: Nature of Software Systems and Significance of Software Analysis and Design | Module   | 01:38:00
  Lecture 1: Complex Nature of Modern Software Systems                      | Lecture  | 00:54:48
    Video 1: Nature of Modern Software Systems Lecture                      | Video    | 00:16:10
    Video 2: Operational Expectations of Software Systems Lecture           | Video    | 00:14:21
    Video 3: Quality Expectations of Software Systems Lecture               | Video    | 00:14:04
    Video 4: Path Towards Better Quality Software Lecture                   | Video    | 00:10:11
  Lecture 2: Architecture-Centric Software Development                      | Lecture  | 00:43:12
    Video 1: Introduction to Software Design and Architecture Lecture       | Video    | 00:10:42
    Video 2: Significance of the Software Architecture Lecture              | Video    | 00:12:27
    Video 3: Architecture-Centric Software Development: A Success Story Lecture | Video    | 00:20:02
-------------------------------------------------------------------------------------------------
Module 2: Object-Oriented Analysis and Design                               | Module   | 02:38:29
  Lecture 1: Object-Oriented Design Fundamentals                            | Lecture  | 00:43:21
    Video 1: Foundations of Object-Oriented Analysis and Design Lecture     | Video    | 00:15:35
    Video 2: Object-Oriented Analysis Modeling: Approach Lecture            | Video    | 00:11:40
    Video 3: Object-Oriented Analysis: Object Classification Lecture        | Video    | 00:16:06
  Lecture 2: From Requirements to Objects                                   | Lecture  | 00:51:58
    Video 1: Object-Oriented Analysis Modeling Artifacts: Use Cases and Use Diagrams Lecture | Video    | 00:16:53
    Video 2: Object-Oriented Analysis Modeling Artifacts: Class Responsibility Collaborator (CRC) Diagrams Lecture | Video    | 00:11:03
    Video 3: From Requirements to Objects - Arizona Investment Bank (AIB) Example - Use Case and Use Case Diagram Lecture | Video    | 00:13:08
    Video 4: From Requirement to Objects - Arizona Investment Bank (AIB) Example - Object Identification Lecture | Video    | 00:10:52
  Lecture 3: Documenting Software Analysis and Design using UML             | Lecture  | 01:03:09
    Video 1: Documenting Objects and Object Relationships - Unified Modeling Language (UML) Approach Lecture | Video    | 00:22:22
    Video 2: Arizona Investment Bank (AIB) System Case Study: Objects Analysis and Object Relationships Lecture | Video    | 00:12:17
    Video 3: Analyzing Object Behaviors: Sequence Diagrams Lecture          | Video    | 00:15:57
    Video 4: Analyzing Object Behaviors: State Diagrams Lecture             | Video    | 00:12:31
-------------------------------------------------------------------------------------------------
Module 3: Software Design Principles and Software Architecture Preliminaries | Module   | 03:32:31
  Lecture 1: Software Architecture Principles                               | Lecture  | 01:07:38
    Video 1: Software Architecture: A Closer Look Lecture                   | Video    | 00:15:45
    Video 2: Software Architecture Views Lecture                            | Video    | 00:16:15
    Video 3: Software Architecture Styles (Patterns) Lecture                | Video    | 00:22:55
    Video 4: Software Architecture In Practice Lecture                      | Video    | 00:12:41
  Lecture 2: Software Design Principles                                     | Lecture  | 01:01:36
    Video 1: Software Design Principles Lecture                             | Video    | 00:15:34
    Video 2: Software Design: Modularity Lecture                            | Video    | 00:09:15
    Video 3: Software Design: Coupling Lecture                              | Video    | 00:11:30
    Video 4: Software Design: Cohesion Lecture                              | Video    | 00:15:36
    Video 5: Software Design: Interfaces Lecture                            | Video    | 00:09:39
  Lecture 3: Object-Oriented Design Patterns                                | Lecture  | 01:23:17
    Video 1: Software Design: Object-Oriented Design Patterns Lecture       | Video    | 00:08:06
    Video 2: Creational Software Design Patterns Lecture                    | Video    | 00:17:13
    Video 3: Structural Software Design Patterns Lecture                    | Video    | 00:14:21
    Video 4: Behavioral Software Design Patterns Lecture                    | Video    | 00:14:22
    Video 5: Implementation of Representative Set of Software Design Patterns Lecture | Video    | 00:22:14
    Video 6: Arizona Investment Bank (AIB) Software System Refactoring Using Design Patterns Lecture | Video    | 00:06:58
-------------------------------------------------------------------------------------------------
Module 4: Software Architecture Fundamentals, Documentation, and Evaluation | Module   | 04:44:44
  Lecture 1: Software Architecture: A Deep Dive                             | Lecture  | 01:52:06
