CSE 598 Introduction to Deep Learning in Visual Computing

Module / Lecture / Video                                                    | Type     | Duration  
-------------------------------------------------------------------------------------------------
Module 1: Introduction to Learning Systems and Prerequisites                | Module   | 01:39:01  
  Lecture 1: Deep Learning and Its Applications                             | Lecture  | 00:25:09  
    Video 1: Paradigms and Applications                                     | Video    | 00:07:26  
    Video 2: Why is Deep Learning Popular?                                  | Video    | 00:09:56  
    Video 3: Deep Learning in Computer Vision                               | Video    | 00:07:47  
  Lecture 2: Review of Essential Prerequisite - Probability                 | Lecture  | 00:43:37  
    Video 1: Probability - Prerequisites- Basics of Probability             | Video    | 00:09:22  
    Video 2: Probability - Prerequisites- Basics of Probability             | Video    | 00:09:22  
    Video 3: Probability - Probability Review - Discrete Example            | Video    | 00:04:51  
    Video 4: Probability - Probability Review - Discrete Example            | Video    | 00:04:51  
    Video 5: Probability - Probability Review -Information, Entropy, Kullback-Leibler Divergence | Video    | 00:15:10  
  Lecture 3: Review of Essential Prerequisites - Gaussian Distribution      | Lecture  | 00:17:22  
    Video 1: Gaussian Distribution - 2D Gaussian Examples                   | Video    | 00:04:19  
    Video 2: Gaussian Distribution - Prerequisites - Gaussian Distributions | Video    | 00:08:43  
    Video 3: Gaussian Distribution - 2D Gaussian Examples                   | Video    | 00:04:19  
  Lecture 4: Review of Essential Prerequisites - Differentiation            | Lecture  | 00:12:51  
    Video 1: Differentiation - Prerequisites - Matrix Diffrentiation        | Video    | 00:12:51  
-------------------------------------------------------------------------------------------------
Module 2: Linear Models                                                     | Module   | 03:53:14  
  Lecture 1: Linear Regression                                              | Lecture  | 00:19:01  
    Video 1: Introduction to Linear Regression                              | Video    | 00:06:01  
    Video 2: Linear Regression Formalization                                | Video    | 00:13:00  
  Lecture 2: Vectorization and Optimization                                 | Lecture  | 00:35:21  
    Video 1: Gradient and Optimal Solution                                  | Video    | 00:06:23  
    Video 2: Least Squares - Closed Form Solution                           | Video    | 00:15:35  
    Video 3: Linear Regression Solution                                     | Video    | 00:13:21  
  Lecture 3: Maximum Likelihood                                             | Lecture  | 00:30:16  
    Video 1: Linear Regression Maximum Likelihood                           | Video    | 00:13:22  
    Video 2: Squared Loss vs Likelihood                                     | Video    | 00:06:12  
    Video 3: Maximum Likelihood Estimate for Gamma Squared                  | Video    | 00:10:42  
  Lecture 4: Ridge Regression and Constrained Optimization                  | Lecture  | 00:27:25  
    Video 1: Maximum a Posteriori Interpretation                            | Video    | 00:07:45  
    Video 2: Ridge Regression and Constrained Optimization                  | Video    | 00:08:09  
    Video 3: Ridge Regression                                               | Video    | 00:11:30  
  Lecture 5: Nonlinear Regression and Cross Validation                      | Lecture  | 00:24:30  
    Video 1: Nonlinear Regression                                           | Video    | 00:08:05  
    Video 2: Ridge Regression with Polynomials                              | Video    | 00:05:52  
    Video 3: Estimating with Cross Validation                               | Video    | 00:10:32  
  Lecture 6: Binary Classification and Logistic Neuron                      | Lecture  | 00:45:17  
    Video 1: Binary Classification - Notation                               | Video    | 00:07:40  
    Video 2: Biological vs Logistic Neuron                                  | Video    | 00:05:43  
    Video 3: Logistic Unit-1                                                | Video    | 00:07:09  
    Video 4: Least Squared Loss-1                                           | Video    | 00:15:56  
    Video 5: Gradient Descent for Logistic Regression-1                     | Video    | 00:08:47  
  Lecture 7: Logistic Regression                                            | Lecture  | 00:51:22  
    Video 1: Gradient Descent (m) -samples                                  | Video    | 00:11:34  
    Video 2: Gradient Propagation - Chain Rule                              | Video    | 00:13:15  
    Video 3: Logistic Regression (m) - Samples Part 2                       | Video    | 00:08:59  
    Video 4: Logistic Regression (m) - Samples                              | Video    | 00:08:44  
    Video 5: Vectorizing Logistic Regression                                | Video    | 00:08:47  
-------------------------------------------------------------------------------------------------
Module 3: Multi-Layer Neural Networks                                       | Module   | 02:39:58  
  Lecture 1: Layers, Activations, and Notation                              | Lecture  | 00:40:59  
    Video 1: Activations for a sample x - Layer 1                           | Video    | 00:09:20  
    Video 2: Multilayer Neural Networks                                     | Video    | 00:08:11  
    Video 3: Multilayer Neural Networks - Notation                          | Video    | 00:06:34  
    Video 4: Activations for a sample x - Layer 1                           | Video    | 00:09:20  
    Video 5: Vectorization and Matrix Dimensions                            | Video    | 00:07:32  
  Lecture 2: Activation Functions                                           | Lecture  | 00:19:55  
    Video 1: Need for Nonlinear Activations                                 | Video    | 00:05:56  
    Video 2: Activation Functions                                           | Video    | 00:13:58  
  Lecture 3: Forward and Back Propagation                                   | Lecture  | 00:30:34  
    Video 1: Forward and Back Propagation                                   | Video    | 00:08:34  
    Video 2: Back Propagation                                               | Video    | 00:15:15  
    Video 3: Back Propagation Part 2                                        | Video    | 00:06:43  
  Lecture 4: Modular Layer                                                  | Lecture  | 00:16:42  
    Video 1: Modular Layer                                                  | Video    | 00:09:26  
    Video 2: Forward-backward 3 layer net example                           | Video    | 00:07:16  
  Lecture 5: Softmax and Cross-Entropy Loss                                 | Lecture  | 00:21:44  
    Video 1: Entropy Loss - Softmax Activation                              | Video    | 00:13:07  
    Video 2: Entropy Loss - Softmax Activation - Multiclass                 | Video    | 00:08:37  
  Lecture 6: Derivatives for Softmax and Cross-Entropy Loss                 | Lecture  | 00:30:02  
    Video 1: Entropy Loss - Cross-entropy Derivative Example                | Video    | 00:05:11  
    Video 2: Entropy Loss - Cross-entropy Loss                              | Video    | 00:08:40  
    Video 3: Entropy Loss - KL-divergence and Cross-entropy                 | Video    | 00:10:59  
    Video 4: Entropy Loss - Cross-entropy Derivative Example                | Video    | 00:05:11  
-------------------------------------------------------------------------------------------------
Module 4: Optimization                                                      | Module   | 02:11:06  
  Lecture 1: Batch, Mini-Batch, and Stochastic Gradient Descent             | Lecture  | 00:16:15  
